NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
4	1	5	YES	0.0000783
4	1	4	YES	0.0000291
4	1	0	NO	0.0025851
NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
5	1	4	YES	0.0003283
5	1	4	YES	0.0000268
5	1	4	YES	0.0002021
5	1	4	YES	0.0000630
5	1	4	YES	0.0000202
5	1	4	YES	0.0001202
5	1	5	YES	0.0001159
5	1	4	YES	0.0000418
5	1	4	YES	0.0000845
5	1	4	YES	0.0000786
5	1	4	YES	0.0000414
5	1	4	YES	0.0000189
5	1	4	YES	0.0000287
5	1	4	YES	0.0000534
5	1	4	YES	0.0000304
5	1	4	YES	0.0002940
5	1	4	YES	0.0000243
5	1	4	YES	0.0004752
5	1	4	YES	0.0000313
5	1	4	YES	0.0004699
5	1	4	YES	0.0000193
5	1	4	YES	0.0000987
5	1	4	YES	0.0000225
5	1	4	YES	0.0000545
5	1	4	YES	0.0000301
5	1	4	YES	0.0001191
5	1	4	YES	0.0000818
5	1	4	YES	0.0000141
5	1	4	YES	0.0000107
5	1	4	YES	0.0000664
5	1	4	YES	0.0000431
5	1	4	YES	0.0000545
5	1	4	YES	0.0000304
5	1	5	YES	0.0000676
5	1	4	YES	0.0000806
5	1	4	YES	0.0000659
5	1	4	YES	0.0000246
5	1	4	YES	0.0000617
5	1	4	YES	0.0000273
5	1	5	YES	0.0001149
5	1	5	YES	0.0001120
5	1	4	YES	0.0000576
5	1	4	YES	0.0000808
5	1	4	YES	0.0000263
5	1	4	YES	0.0000428
5	1	4	YES	0.0001188
5	1	4	YES	0.0001439
5	1	4	YES	0.0000774
5	1	4	YES	0.0001287
5	1	4	YES	0.0001025
5	1	4	YES	0.0000720
5	1	5	YES	0.0001396
5	1	4	YES	0.0001262
5	1	4	YES	0.0000633
5	1	4	YES	0.0000224
5	1	4	YES	0.0001067
5	1	4	YES	0.0000816
5	1	4	YES	0.0000852
5	1	4	YES	0.0000660
5	1	4	YES	0.0000882
5	1	4	YES	0.0000664
5	1	4	YES	0.0001231
5	1	0	NO	0.0021153
5	1	0	NO	0.0030276
5	1	5	YES	0.0000927
5	1	4	YES	0.0000352
5	1	5	YES	0.0000811
5	1	0	NO	0.0035618
5	1	4	YES	0.0000476
5	1	0	NO	0.0036311
5	1	4	YES	0.0000195
5	1	4	YES	0.0000763
5	1	5	YES	0.0000995
5	1	0	NO	0.0035816
5	1	4	YES	0.0000399
5	1	0	NO	0.0036561
5	1	0	NO	0.0026575
5	1	0	NO	0.0055836
